title,budget,vote_count,revenue
Toy Story,30000000.0,5415.0,373554033.0
Jumanji,65000000.0,2413.0,262797249.0
Waiting to Exhale,16000000.0,34.0,81452156.0
Heat,60000000.0,1886.0,187436818.0
Sabrina,58000000.0,141.0,0.0
Sudden Death,35000000.0,174.0,64350171.0
GoldenEye,58000000.0,1194.0,352194034.0
The American President,62000000.0,199.0,107879496.0
Nixon,44000000.0,72.0,13681765.0
Cutthroat Island,98000000.0,137.0,10017322.0
Casino,52000000.0,1343.0,116112375.0
Sense and Sensibility,16500000.0,364.0,135000000.0
Four Rooms,4000000.0,539.0,4300000.0
Ace Ventura: When Nature Calls,30000000.0,1128.0,212385533.0
Money Train,60000000.0,224.0,35431113.0
Get Shorty,30250000.0,305.0,115101622.0
Assassins,50000000.0,394.0,30303072.0
Leaving Las Vegas,3600000.0,365.0,49800000.0
Now and Then,12000000.0,91.0,27400000.0
The City of Lost Children,18000000.0,308.0,1738611.0
Twelve Monkeys,29500000.0,2470.0,168840000.0
Babe,30000000.0,756.0,254134910.0
Dead Man Walking,11000000.0,350.0,39363635.0
Clueless,12000000.0,828.0,0.0
Dead Presidents,10000000.0,80.0,0.0
Restoration,19000000.0,30.0,0.0
Mortal Kombat,18000000.0,452.0,122195920.0
To Die For,20000000.0,177.0,21284514.0
How To Make An American Quilt,10000000.0,38.0,23574130.0
Se7en,33000000.0,5915.0,327311859.0
Pocahontas,55000000.0,1509.0,346079773.0
The Usual Suspects,6000000.0,3334.0,23341568.0
Mighty Aphrodite,15000000.0,145.0,6700000.0
The Indian in the Cupboard,45000000.0,136.0,0.0
Eye for an Eye,20000000.0,65.0,0.0
Bio-Dome,15000000.0,110.0,0.0
Friday,3500000.0,513.0,28215918.0
From Dusk Till Dawn,19000000.0,1644.0,25836616.0
Fair Game,50000000.0,54.0,11534477.0
Big Bully,15000000.0,16.0,2042530.0
Screamers,20000000.0,154.0,5781885.0
The Juror,44000000.0,91.0,0.0
Things to Do in Denver When You're Dead,8000000.0,87.0,529766.0
Antonia's Line,900000.0,26.0,0.0
White Squall,38000000.0,86.0,10300000.0
Dunston Checks In,16000000.0,59.0,0.0
Nick of Time,8169363.0,190.0,8175346.0
Mary Reilly,47000000.0,77.0,12379402.0
Vampire in Brooklyn,14000000.0,113.0,19800000.0
Broken Arrow,50000000.0,459.0,150270147.0
La Haine,3000000.0,695.0,0.0
Bottle Rocket,7000000.0,285.0,560069.0
Unforgettable,18000000.0,22.0,0.0
Happy Gilmore,12000000.0,767.0,41205099.0
The Bridges of Madison County,24000000.0,397.0,182016617.0
Braveheart,72000000.0,3404.0,210000000.0
Taxi Driver,1300000.0,2632.0,28262574.0
Rumble in the Bronx,7500000.0,245.0,32392047.0
Before and After,35000000.0,37.0,0.0
Happiness Is in the Field,13365000.0,23.0,0.0
Steal Big Steal Little,25000000.0,7.0,6278139.0
Boomerang,40000000.0,139.0,70100000.0
Flirting with Disaster,7000000.0,66.0,14702438.0
The Neverending Story III: Escape from Fantasia,17000000.0,105.0,0.0
Jade,50000000.0,45.0,9851610.0
Up Close & Personal,60000000.0,51.0,0.0
The Birdcage,31000000.0,303.0,185260553.0
Bad Boys,19000000.0,1729.0,141407024.0
An Awfully Big Adventure,4000000.0,11.0,851545.0
Apollo 13,52000000.0,1637.0,355237933.0
Rob Roy,28000000.0,151.0,31596911.0
Batman Forever,100000000.0,1529.0,336529144.0
Blue in the Face,2000000.0,28.0,1275000.0
Canadian Bacon,11000000.0,57.0,178104.0
Casper,50000000.0,1045.0,287928194.0
Clockers,25000000.0,69.0,13071518.0
Congo,50000000.0,214.0,152022101.0
Crimson Tide,53000000.0,508.0,157387195.0
Desperado,7000000.0,898.0,25405445.0
Devil in a Blue Dress,27000000.0,88.0,16140822.0
Die Hard: With a Vengeance,90000000.0,2094.0,366101666.0
First Knight,55000000.0,319.0,127600435.0
Hackers,20000000.0,406.0,7563728.0
Johnny Mnemonic,25000000.0,380.0,19075720.0
Judge Dredd,90000000.0,643.0,113493481.0
Kids,1500000.0,280.0,7412216.0
Living in Oblivion,500000.0,64.0,1148752.0
Mallrats,6000000.0,400.0,2122561.0
Mighty Morphin Power Rangers: The Movie,15000000.0,153.0,66000000.0
Mute Witness,2.0,36.0,1.0
The Net,22000000.0,359.0,110627965.0
Party Girl,150000.0,14.0,472370.0
The Prophecy,8.0,139.0,16.0
The Scarlet Letter,50000000.0,111.0,10382407.0
Showgirls,45000000.0,261.0,20350754.0
Smoke,7000000.0,115.0,8349430.0
Species,35000000.0,457.0,113374103.0
Strange Days,42000000.0,334.0,7959291.0
The Tie That Binds,14000000.0,9.0,5780000.0
Under Siege 2: Dark Territory,60000000.0,217.0,104324083.0
A Walk in the Clouds,20000000.0,168.0,50012507.0
Waterworld,175000000.0,1017.0,264218220.0
White Man's Burden,8000000.0,25.0,0.0
Wild Bill,30000000.0,27.0,0.0
Burnt by the Sun,2800000.0,35.0,2616503.0
Before Sunrise,2500000.0,984.0,5535405.0
Billy Madison,10000000.0,464.0,26488734.0
Boys on the Side,21000000.0,48.0,23450000.0
Clerks,27000.0,769.0,3151130.0
Don Juan DeMarco,25000000.0,184.0,22200000.0
Disclosure,55000000.0,217.0,214015089.0
Drop Zone,45000000.0,91.0,0.0
Dumb and Dumber,16000000.0,1894.0,247275374.0
Ed Wood,18000000.0,639.0,5887457.0
Hideaway,15000000.0,24.0,12201255.0
Hoop Dreams,700000.0,91.0,7830611.0
Heavenly Creatures,5000000.0,299.0,3049135.0
Houseguest,10500000.0,17.0,26325256.0
Immortal Beloved,120.0,90.0,0.0
I.Q.,25000000.0,112.0,0.0
Interview with the Vampire,60000000.0,1558.0,223664608.0
Jefferson in Paris,14000000.0,10.0,2474000.0
Junior,60000000.0,381.0,37000000.0
Kiss of Death,40000000.0,83.0,0.0
Star Wars,11000000.0,6778.0,775398007.0
Little Women,18000000.0,222.0,0.0
A Little Princess,17000000.0,207.0,0.0
L'Enfer,10000000.0,22.0,0.0
Like Water for Chocolate,2000000.0,70.0,21665468.0
Legends of the Fall,30000000.0,636.0,160638883.0
Love Affair,60000000.0,11.0,0.0
Losing Isaiah,17000000.0,28.0,7603766.0
Mary Shelley's Frankenstein,45000000.0,272.0,112006296.0
Mixed Nuts,15000000.0,37.0,0.0
Miami Rhapsody,6.0,7.0,5.0
My Family,5500000.0,11.0,0.0
Nell,31000000.0,128.0,106683817.0
Beyond Bedlam,4800000.0,4.0,0.0
Natural Born Killers,34000000.0,927.0,50282766.0
Outbreak,50000000.0,522.0,189859560.0
Leon: The Professional,16000000.0,4293.0,45284974.0
The Perez Family,11000000.0,9.0,2832826.0
Pulp Fiction,8000000.0,8670.0,213928762.0
Pushing Hands,400000.0,9.0,152322.0
The Quick and the Dead,32000000.0,431.0,18552460.0
Roommates,22000000.0,7.0,12400000.0
Prêt-à-Porter,15000000.0,33.0,11300653.0
The Swan Princess,35000000.0,251.0,9771658.0
The Specialist,45000000.0,317.0,170362582.0
Stargate,55000000.0,942.0,196567262.0
The Santa Clause,22000000.0,501.0,189833357.0
The Shawshank Redemption,25000000.0,8358.0,28341469.0
The Sum of Us,32.0,21.0,0.0
Tank Girl,25000000.0,140.0,4064495.0
Star Trek: Generations,38000000.0,461.0,120000000.0
